c11,c14,c15,c22,c33,c44,c45,c55,c62,c63
"[0.0443705, 0.24]","[0.00744551, 0.24]","[0.0631247, 0.24]","[0.0132584, 0.24]","[0.0166556, 0.24]","[0.00897197, 0.24]","[0.0513502, 0.24]","[0.221576, 0.24]","[0.0256419, 0.24]","[0.00695809, 0.24]"
"[0.048116, 0.25]","[0.00843382, 0.25]","[0.0698135, 0.25]","[0.0146724, 0.25]","[0.0184288, 0.25]","[0.0103483, 0.25]","[0.0577909, 0.25]","[0.243694, 0.25]","[0.0283381, 0.25]","[0.00784534, 0.25]"
"[0.0520159, 0.26]","[0.00950907, 0.26]","[0.0769148, 0.26]","[0.0161726, 0.26]","[0.0203095, 0.26]","[0.0118708, 0.26]","[0.0647367, 0.26]","[0.26699, 0.26]","[0.0311933, 0.26]","[0.00880337, 0.26]"
"[0.0560713, 0.27]","[0.0106757, 0.27]","[0.084439, 0.27]","[0.0177607, 0.27]","[0.0222997, 0.27]","[0.0135489, 0.27]","[0.0722062, 0.27]","[0.291476, 0.27]","[0.0342099, 0.27]","[0.00983467, 0.27]"
"[0.0602833, 0.28]","[0.0119381, 0.28]","[0.0923967, 0.28]","[0.0194382, 0.28]","[0.0244013, 0.28]","[0.0153925, 0.28]","[0.080218, 0.28]","[0.317167, 0.28]","[0.0373906, 0.28]","[0.0109417, 0.28]"
"[0.0646531, 0.29]","[0.013301, 0.29]","[0.100799, 0.29]","[0.0212067, 0.29]","[0.0266162, 0.29]","[0.0174116, 0.29]","[0.0887911, 0.29]","[0.344075, 0.29]","[0.0407376, 0.29]","[0.0121269, 0.29]"
"[0.0691823, 0.3]","[0.0147693, 0.3]","[0.109656, 0.3]","[0.0230677, 0.3]","[0.0289463, 0.3]","[0.019617, 0.3]","[0.0979445, 0.3]","[0.372215, 0.3]","[0.0442533, 0.3]","[0.0133926, 0.3]"
"[0.0738724, 0.31]","[0.0163478, 0.31]","[0.11898, 0.31]","[0.0250229, 0.31]","[0.0313933, 0.31]","[0.0220193, 0.31]","[0.107698, 0.31]","[0.401601, 0.31]","[0.04794, 0.31]","[0.0147413, 0.31]"
"[0.078725, 0.32]","[0.0180418, 0.32]","[0.128783, 0.32]","[0.0270738, 0.32]","[0.0339592, 0.32]","[0.02463, 0.32]","[0.118071, 0.32]","[0.432249, 0.32]","[0.0518, 0.32]","[0.0161754, 0.32]"
"[0.083742, 0.33]","[0.0198565, 0.33]","[0.139076, 0.33]","[0.0292217, 0.33]","[0.0366456, 0.33]","[0.0274607, 0.33]","[0.129084, 0.33]","[0.464174, 0.33]","[0.0558354, 0.33]","[0.0176971, 0.33]"
"[0.0889255, 0.34]","[0.0217975, 0.34]","[0.149873, 0.34]","[0.0314683, 0.34]","[0.0394544, 0.34]","[0.0305236, 0.34]","[0.140758, 0.34]","[0.497393, 0.34]","[0.0600485, 0.34]","[0.0193088, 0.34]"
"[0.0942775, 0.35]","[0.0238706, 0.35]","[0.161186, 0.35]","[0.033815, 0.35]","[0.0423871, 0.35]","[0.0338313, 0.35]","[0.153114, 0.35]","[0.531922, 0.35]","[0.0644413, 0.35]","[0.0210129, 0.35]"
"[0.0998005, 0.36]","[0.0260816, 0.36]","[0.173029, 0.36]","[0.0362632, 0.36]","[0.0454456, 0.36]","[0.037397, 0.36]","[0.166173, 0.36]","[0.56778, 0.36]","[0.069016, 0.36]","[0.0228116, 0.36]"
"[0.105497, 0.37]","[0.0284367, 0.37]","[0.185416, 0.37]","[0.0388144, 0.37]","[0.0486316, 0.37]","[0.0412343, 0.37]","[0.179958, 0.37]","[0.604984, 0.37]","[0.0737747, 0.37]","[0.0247071, 0.37]"
"[0.11137, 0.38]","[0.0309424, 0.38]","[0.198361, 0.38]","[0.0414701, 0.38]","[0.0519467, 0.38]","[0.0453575, 0.38]","[0.194491, 0.38]","[0.643555, 0.38]","[0.0787193, 0.38]","[0.0267019, 0.38]"
"[0.117421, 0.39]","[0.0336054, 0.39]","[0.211879, 0.39]","[0.0442316, 0.39]","[0.0553926, 0.39]","[0.0497814, 0.39]","[0.209797, 0.39]","[0.683513, 0.39]","[0.083852, 0.39]","[0.028798, 0.39]"
"[0.123655, 0.4]","[0.0364327, 0.4]","[0.225987, 0.4]","[0.0471005, 0.4]","[0.0589709, 0.4]","[0.0545213, 0.4]","[0.225899, 0.4]","[0.72488, 0.4]","[0.0891747, 0.4]","[0.0309978, 0.4]"
"[0.130075, 0.41]","[0.0394314, 0.41]","[0.240699, 0.41]","[0.050078, 0.41]","[0.0626833, 0.41]","[0.0595934, 0.41]","[0.242823, 0.41]","[0.767676, 0.41]","[0.0946894, 0.41]","[0.0333034, 0.41]"
"[0.136683, 0.42]","[0.0426093, 0.42]","[0.256034, 0.42]","[0.0531657, 0.42]","[0.0665314, 0.42]","[0.0650144, 0.42]","[0.260594, 0.42]","[0.811928, 0.42]","[0.100398, 0.42]","[0.035717, 0.42]"
"[0.143484, 0.43]","[0.0459742, 0.43]","[0.272008, 0.43]","[0.056365, 0.43]","[0.0705169, 0.43]","[0.070802, 0.43]","[0.279239, 0.43]","[0.857658, 0.43]","[0.106303, 0.43]","[0.0382409, 0.43]"
"[0.150482, 0.44]","[0.0495344, 0.44]","[0.28864, 0.44]","[0.0596772, 0.44]","[0.0746413, 0.44]","[0.0769744, 0.44]","[0.298786, 0.44]","[0.904893, 0.44]","[0.112406, 0.44]","[0.0408773, 0.44]"
"[0.157682, 0.45]","[0.0532985, 0.45]","[0.305948, 0.45]","[0.0631038, 0.45]","[0.0789064, 0.45]","[0.0835508, 0.45]","[0.319263, 0.45]","[0.953661, 0.45]","[0.118708, 0.45]","[0.0436282, 0.45]"
"[0.165086, 0.46]","[0.0572756, 0.46]","[0.323953, 0.46]","[0.0666462, 0.46]","[0.0833138, 0.46]","[0.0905513, 0.46]","[0.340701, 0.46]","[1.00399, 0.46]","[0.125213, 0.46]","[0.0464959, 0.46]"
"[0.172702, 0.47]","[0.0614751, 0.47]","[0.342676, 0.47]","[0.0703058, 0.47]","[0.087865, 0.47]","[0.0979969, 0.47]","[0.36313, 0.47]","[1.05591, 0.47]","[0.131922, 0.47]","[0.0494825, 0.47]"
"[0.180532, 0.48]","[0.0659069, 0.48]","[0.362137, 0.48]","[0.0740841, 0.48]","[0.0925617, 0.48]","[0.10591, 0.48]","[0.386582, 0.48]","[1.10945, 0.48]","[0.138836, 0.48]","[0.0525902, 0.48]"
"[0.188584, 0.49]","[0.0705815, 0.49]","[0.382358, 0.49]","[0.0779824, 0.49]","[0.0974056, 0.49]","[0.114313, 0.49]","[0.411092, 0.49]","[1.16465, 0.49]","[0.145958, 0.49]","[0.0558211, 0.49]"
"[0.196862, 0.5]","[0.0755096, 0.5]","[0.403365, 0.5]","[0.0820023, 0.5]","[0.102398, 0.5]","[0.12323, 0.5]","[0.436694, 0.5]","[1.22153, 0.5]","[0.15329, 0.5]","[0.0591774, 0.5]"
"[0.205373, 0.51]","[0.0807027, 0.51]","[0.42518, 0.51]","[0.0861451, 0.51]","[0.107541, 0.51]","[0.132687, 0.51]","[0.463423, 0.51]","[1.28015, 0.51]","[0.160834, 0.51]","[0.0626612, 0.51]"
"[0.214123, 0.52]","[0.0861728, 0.52]","[0.447828, 0.52]","[0.0904124, 0.52]","[0.112837, 0.52]","[0.142711, 0.52]","[0.491319, 0.52]","[1.34052, 0.52]","[0.168592, 0.52]","[0.0662747, 0.52]"
"[0.22312, 0.53]","[0.0919324, 0.53]","[0.471338, 0.53]","[0.0948055, 0.53]","[0.118286, 0.53]","[0.15333, 0.53]","[0.520421, 0.53]","[1.4027, 0.53]","[0.176565, 0.53]","[0.0700199, 0.53]"
"[0.232369, 0.54]","[0.0979946, 0.54]","[0.495735, 0.54]","[0.099326, 0.54]","[0.12389, 0.54]","[0.164573, 0.54]","[0.550769, 0.54]","[1.46673, 0.54]","[0.184757, 0.54]","[0.0738991, 0.54]"
"[0.241879, 0.55]","[0.104373, 0.55]","[0.52105, 0.55]","[0.103975, 0.55]","[0.129652, 0.55]","[0.176472, 0.55]","[0.582407, 0.55]","[1.53264, 0.55]","[0.193168, 0.55]","[0.0779144, 0.55]"
